"Żywiecka kiełbasa z indyka";"159";"0.2";"7.8";"22.0"
"Żyto Ekspandowane";"329";"74.2";"2.2";"7.9"
"Żurek z ziemniakami i jajkiem";"47";"5.5";"1.8";"2.8"
"Żurek z kiełbasą wieprzową(PROFI)";"48";"4.6";"2.3";"2.0"
"żurek z jajkiem i kiełbasą";"142";"26.2";"3.5";"2.4"
"Żurek z białą kiełbasą i jajkiem";"109";"4.9";"7.9";"5.4"
"Żurek Winiary";"21";"3.9";"0.2";"0.8"
"żurek na boczku";"33";"3.1";"1.7";"1.4"
"żurek na białej kiełbasie (bez jajka)";"46";"2.5";"3.1";"1.9"
"Żurek (proszek)";"21";"3.9";"0.2";"0.8"
"Żurek - Winiary";"32";"3.8";"1.2";"1.4"
"Żurek";"136";"25.9";"3.4";"2.0"
"Żurawina z jabłkiem - Kowalewski";"82";"18.0";"0.3";"0.3"
"Żurawina w czekoladzie";"415";"82.0";"8.4";"1.9"
"Żurawina suszona z sokiem z granatu - Bakalland";"343";"80.0";"0.5";"0.1"
"Żurawina suszona - Sereno";"331";"78.0";"1.0";"0.5"
"Żurawina suszona - Makar";"353";"84.0";"0.5";"0.5"
"Żurawina suszona - Lidl";"341";"78.0";"1.0";"1.0"
"Żurawina suszona - Kresto";"320";"74.0";"1.0";"0.0"
"Żurawina suszona - Helio";"293";"70.0";"0.5";"0.5"
"Żurawina suszona - Finesia";"320";"84.2";"1.0";"0.1"
"Żurawina suszona - Farmers";"213";"50.0";"0.6";"0.3"
"Żurawina suszona - Bakalland";"360";"84.9";"0.9";"0.3"
"Żurawina suszona - Bakal' Or";"352";"84.0";"0.4";"0.4"
"Żurawina suszona - Alesto";"336";"78.0";"1.0";"1.0"
"Żurawina suszona - Aldi";"342";"78.5";"1.1";"0.6"
"Żurawina do mięs i serów";"115";"27.0";"0.5";"0.5"
"Żurawina (w słoiku)";"151";"38.9";"0.2";"0.2"
"Żurawina (suszona)";"308";"82.4";"0.5";"0.2"
"Żurawina Sanello - Biedronka";"118";"27.0";"0.0";"0.0"
"Żurawina";"46";"12.2";"0.1";"0.4"
