"Parówki";"230";"12,0";"0,5";"20,0";"Zgłoś"
"Kisiel (po przygotowaniu)";"67";"0,1";"16,6";"0,1";"Zgłoś"
"Sok marchwiowy";"40";"1,0";"9,3";"0,2";"Zgłoś"
"Pstr? g";"141";"19,9";"0,0";"6,2";"Zgłoś"
"Ser Camembert";"357";"17,0";"0,2";"32,0";"Zgłoś"
"Ryba pieczona";"124";"21,0";"0,3";"3,6";"Zgłoś"
"Drożdżówka z serem";"292";"9,5";"48,4";"6,1";"Zgłoś"
"Tuńczyk kawałki w sosie własnym - Amerigo";"80";"20,0";"0,0";"0,5";"Zgłoś"
"Piwo Żywiec";"49";"0,5";"3,8";"0,0";"Zgłoś"
"Sok jednodniowy jabłkowo-buraczkowy - Viva Natura";"38";"0,6";"8,6";"0,5";"Zgłoś"
"Chleb żytni na naturalnym zakwasie - Lidl";"217";"6,0";"42,0";"2,3";"Zgłoś"
"Kiełbasa biała";"264";"13,9";"0,1";"22,8";"Zgłoś"
"Czekolada gorzka (60-69% zawartości kakao)";"579";"6,1";"52,4";"38,3";"Zgłoś"
"Winogrona ciemne";"67";"0,5";"17,6";"0,2";"Zgłoś"
"Buraczki duszone";"81";"1,6";"13,0";"3,0";"Zgłoś"
"Chleb wielozbożowy pełnoziarnisty";"191";"5,3";"31,0";"2,8";"Zgłoś"
"Margaryna Daria lekka z Omega-3 - Mlekovita";"270";"0,0";"0,0";"30,0";"Zgłoś"
"Bułka grahamka - Biedronka";"272";"9,0";"56,1";"2,0";"Zgłoś"
"Sok malinowy (syrop)";"213";"0,0";"53,0";"0,0";"Zgłoś"
"Sos pieczeniowy ciemny";"37";"1,0";"6,0";"1,0";"Zgłoś"
"Ciecierzyca (gotowana bez soli)";"164";"8,9";"27,4";"2,6";"Zgłoś"
"Szparagi ugotowane";"22";"2,4";"4,1";"0,2";"Zgłoś"
"Odżywka białkowa Whey protein complex - Olimp";"390";"75,0";"7,8";"6,5";"Zgłoś"
"Bataty (słodkie ziemniaki)";"86";"1,6";"20,1";"0,1";"Zgłoś"
"Musli z owocami - Sante";"367";"8,5";"71,8";"5,0";"Zgłoś"
